ID,Age,Customer_Segment,Region,Preferred_Channel,Employment_Status,Annual_Income,Spending_Score,Savings_Amount,Loan_Amount,Years_with_Bank,Transaction_Count,Online_Purchases,In_Person_Purchases,Customer_Tenure,Credit_Score,Avg_Transaction_Value,Num_Bounced_Checks,Account_Balance,Referral_Count,Loyalty_Score,Has_Credit_Card,Has_Loan,target
29,35,Platinum,North,Branch,Self-Employed,51883.38,89,25371.06,21409.18,5,36,10,18,4,350.8,72.73,0,3232.59,3,2.0,1.0,1.0,0.0
30,56,Platinum,South,Branch,Retired,25470.65,35,19797.08,4213.71,1,31,13,18,13,548.58,68.09,0,4319.21,2,1.0,1.0,0.0,0.0
31,41,Bronze,North,Branch,Retired,78036.0,69,16322.03,15672.8,17,32,7,30,10,287.17,59.05,0,11335.12,4,4.0,1.0,0.0,1.0
32,19,Bronze,South,Phone,Self-Employed,50633.95,7,22710.15,27638.34,11,21,10,18,5,500.11,41.94,0,4804.37,2,6.0,0.0,1.0,1.0
33,37,Platinum,North,Phone,Unemployed,82659.4,90,8681.37,11745.95,17,32,8,23,10,224.47,97.12,0,11104.37,1,3.0,1.0,0.0,1.0
34,64,Silver,West,Phone,Unemployed,65418.26,78,248.55,23621.58,5,25,14,27,14,461.86,88.74,0,2405.76,3,8.0,0.0,1.0,1.0
35,20,Silver,North,Branch,Unemployed,33634.3,96,13385.25,14545.89,24,26,10,25,8,296.52,44.12,0,6274.05,1,6.0,1.0,0.0,0.0
36,66,Bronze,North,Phone,Retired,70660.03,67,0.0,31069.17,29,26,13,20,11,114.79,63.5,1,6899.14,2,7.0,0.0,1.0,1.0
37,46,Platinum,East,Phone,Unemployed,57163.83,20,22416.12,24686.5,20,25,10,16,5,371.74,40.56,1,567.88,3,1.0,0.0,1.0,1.0
38,34,Bronze,South,Online,Retired,43433.94,7,5061.73,26739.97,4,31,6,23,13,446.32,56.53,0,1960.73,3,5.0,0.0,1.0,1.0
39,48,Bronze,West,Online,Unemployed,74105.29,72,20253.31,24156.33,4,21,17,17,12,422.02,36.11,0,5873.74,0,1.0,1.0,0.0,1.0
40,24,Gold,South,Phone,Self-Employed,46001.79,56,5708.29,7941.87,24,34,8,12,7,183.83,45.81,0,2632.28,0,1.0,1.0,0.0,0.0
41,22,Gold,West,Phone,Employed,53977.46,29,19026.25,15362.61,27,30,12,21,12,287.25,5.0,0,3435.52,3,10.0,1.0,1.0,1.0
42,39,Gold,North,Phone,Retired,54502.63,90,9607.68,20296.91,24,39,10,22,8,396.76,65.44,0,0.0,6,10.0,1.0,0.0,1.0
43,55,Silver,East,Branch,Self-Employed,83144.08,44,11046.42,33217.57,1,23,8,19,12,216.34,61.43,0,5169.73,2,8.0,0.0,0.0,0.0
44,30,Platinum,East,Online,Retired,77627.23,85,9689.65,26211.16,18,35,11,22,10,407.22,31.45,0,7702.56,2,6.0,0.0,0.0,1.0
45,26,Platinum,South,Online,Retired,49434.69,79,6206.0,26810.27,22,26,12,23,10,193.37,34.78,0,2370.25,0,8.0,1.0,1.0,0.0
46,56,Platinum,East,Online,Self-Employed,54169.74,15,9030.21,12241.4,12,29,6,21,3,91.62,64.87,0,4023.08,2,7.0,1.0,0.0,1.0
47,21,Platinum,South,Phone,Unemployed,71160.38,2,8545.1,35014.1,26,26,7,26,1,392.67,34.83,0,0.0,3,2.0,1.0,0.0,1.0
48,57,Gold,South,Branch,Retired,57377.22,49,11797.05,22850.41,22,28,9,11,14,377.22,60.57,0,679.06,3,9.0,0.0,1.0,1.0
49,64,Silver,West,Online,Employed,43313.64,41,0.0,43765.24,25,25,9,17,3,172.67,69.78,0,7185.61,3,5.0,0.0,1.0,1.0
50,67,Silver,South,Online,Employed,52596.01,47,8442.28,26138.14,19,37,4,15,9,252.39,65.65,0,11040.5,6,7.0,0.0,0.0,1.0
51,46,Gold,West,Branch,Self-Employed,51525.85,4,0.0,31140.85,17,46,6,28,4,325.84,67.63,0,1498.81,1,10.0,1.0,1.0,
52,33,Silver,East,Phone,Employed,55707.8,52,332.83,0.0,5,29,12,14,7,187.29,70.98,0,2229.52,1,7.0,0.0,0.0,
53,67,Gold,South,Phone,Self-Employed,62402.58,27,18955.3,21644.33,10,26,12,20,13,321.48,63.58,0,0.0,1,2.0,1.0,0.0,
54,43,Platinum,South,Online,Self-Employed,46253.41,33,2174.3,9204.05,16,27,7,15,2,282.61,7.65,1,5206.26,1,9.0,0.0,0.0,
55,18,Gold,North,Online,Retired,44849.97,73,22950.5,21417.98,25,27,9,23,9,301.27,37.29,0,1036.15,0,8.0,1.0,0.0,1.0
56,26,Platinum,South,Branch,Self-Employed,61556.95,53,8227.78,23944.76,8,22,8,21,6,317.61,40.52,0,13313.8,3,2.0,1.0,1.0,0.0
57,62,Platinum,South,Online,Self-Employed,41203.77,10,14871.29,15380.3,12,37,7,15,1,445.46,57.59,0,4117.61,0,5.0,1.0,0.0,1.0
58,43,Bronze,North,Branch,Unemployed,70551.53,96,13161.04,7590.15,19,33,7,18,7,250.75,42.49,0,0.0,3,7.0,1.0,0.0,0.0
59,22,Gold,North,Online,Retired,59744.07,18,8513.33,22630.15,24,34,11,20,1,340.41,53.96,0,1592.2,3,4.0,0.0,1.0,1.0
60,56,Bronze,East,Online,Employed,54169.74,15,9030.21,12241.4,12,29,6,21,3,91.62,64.87,0,4023.08,2,7.0,1.0,0.0,1.0
61,49,Gold,South,Online,Unemployed,61923.85,14,1568.1,24256.31,13,33,10,18,5,324.96,80.54,2,2453.68,0,3.0,0.0,1.0,1.0
62,40,Gold,East,Phone,Unemployed,35299.07,82,14726.22,12201.38,6,29,12,17,1,458.21,45.81,0,14443.57,4,4.0,1.0,1.0,0.0
63,66,Bronze,East,Branch,Retired,57257.62,82,11272.08,12024.29,0,34,10,22,7,159.12,68.76,1,8969.8,4,5.0,1.0,0.0,0.0
64,27,Bronze,North,Branch,Retired,44972.5,17,13408.92,8891.78,18,40,11,23,13,305.44,52.1,0,7371.02,4,7.0,1.0,0.0,1.0
65,25,Gold,West,Phone,Unemployed,56495.96,49,0.0,19557.22,21,30,9,15,13,354.36,67.49,1,0.0,0,8.0,1.0,1.0,1.0
66,57,Silver,East,Phone,Retired,24490.59,67,5077.32,25645.09,5,25,10,16,2,113.63,42.92,0,7877.97,1,5.0,0.0,0.0,0.0
67,47,Platinum,West,Phone,Retired,52705.08,84,5071.86,22037.73,28,33,12,22,8,519.28,51.74,0,54.33,0,9.0,1.0,1.0,1.0
68,68,Bronze,South,Branch,Self-Employed,49732.07,39,2411.04,27103.78,26,29,12,20,10,207.91,5.0,0,1814.36,3,4.0,1.0,0.0,0.0
69,23,Platinum,North,Online,Retired,52774.56,54,19972.64,32714.75,8,26,4,13,11,606.8,20.87,0,7228.03,4,10.0,0.0,1.0,0.0
70,26,Silver,South,Phone,Self-Employed,83472.48,30,10972.46,28101.68,0,28,12,19,10,375.66,46.0,0,6713.18,3,7.0,1.0,1.0,1.0
71,24,Silver,South,Phone,Unemployed,56206.31,70,4441.3,28234.14,16,32,10,19,6,518.98,25.86,0,10137.09,3,5.0,1.0,0.0,1.0
72,19,Silver,North,Phone,Unemployed,50633.95,7,22710.15,27638.34,11,21,10,18,5,500.11,41.94,0,4804.37,2,6.0,0.0,1.0,1.0
73,33,Bronze,South,Online,Employed,49399.44,27,26221.07,25043.98,19,43,13,19,5,545.71,25.34,0,1552.95,2,6.0,0.0,1.0,1.0
74,49,Silver,North,Online,Retired,60337.47,35,16549.83,10510.5,26,22,13,25,13,404.15,29.21,0,237.68,1,2.0,1.0,1.0,1.0
75,26,Bronze,West,Phone,Unemployed,40374.09,16,4571.13,28020.65,3,40,14,19,13,257.15,69.49,0,6247.76,3,10.0,1.0,0.0,1.0
76,46,Silver,South,Online,Self-Employed,47975.15,35,3764.65,17773.67,28,29,11,22,12,340.86,99.0,0,7805.14,5,3.0,0.0,1.0,0.0
77,26,Platinum,North,Phone,Unemployed,60323.08,58,3032.61,22863.78,22,42,6,13,13,98.18,64.39,1,7730.54,2,5.0,1.0,1.0,1.0
78,57,Platinum,East,Online,Retired,40939.55,17,19413.32,5584.46,11,28,5,24,12,286.37,38.77,0,4564.37,1,1.0,0.0,1.0,0.0
79,50,Gold,South,Branch,Employed,64404.58,43,17256.13,20210.6,16,25,13,23,4,406.69,21.06,0,4094.22,2,9.0,1.0,0.0,0.0
80,62,Platinum,West,Branch,Employed,77720.6,46,14034.79,29154.43,29,32,19,25,10,218.87,58.07,0,8374.57,3,3.0,0.0,0.0,1.0
81,19,Gold,North,Online,Unemployed,51932.74,72,23644.51,21580.7,14,45,11,19,1,405.8,19.18,0,10044.11,3,8.0,1.0,1.0,0.0
82,62,Platinum,South,Branch,Employed,61762.2,91,17016.37,12315.65,10,25,11,17,6,303.14,20.96,0,554.05,0,4.0,1.0,0.0,1.0
83,40,Bronze,South,Branch,Retired,41741.99,25,8131.63,14996.89,1,31,11,21,10,301.55,89.32,0,7036.88,1,10.0,0.0,0.0,1.0
84,44,Platinum,South,Branch,Retired,43244.48,15,0.0,20369.45,22,33,11,22,6,459.76,41.43,0,297.64,0,8.0,0.0,0.0,1.0
85,50,Gold,West,Phone,Employed,45106.49,49,0.0,31023.68,13,31,7,17,12,425.88,45.61,0,0.0,2,1.0,1.0,0.0,1.0
86,40,Gold,North,Online,Self-Employed,55807.22,24,17311.24,7667.26,13,35,8,15,8,244.65,95.77,0,3197.59,2,8.0,0.0,0.0,1.0
87,65,Silver,East,Online,Employed,59117.61,87,5483.27,40360.03,13,27,18,22,5,168.92,39.58,0,4975.28,2,1.0,0.0,0.0,1.0
88,64,Bronze,East,Online,Employed,73971.66,51,13214.43,22404.41,17,19,10,19,5,515.93,57.94,1,2461.75,3,9.0,1.0,0.0,1.0
89,67,Platinum,East,Branch,Unemployed,54032.19,66,24180.82,0.0,13,35,4,22,14,262.78,13.09,0,5245.84,1,4.0,1.0,0.0,0.0
90,42,Silver,North,Phone,Self-Employed,49043.82,15,6587.96,25005.78,4,25,12,19,9,386.99,106.58,0,5691.61,2,1.0,1.0,0.0,0.0
91,45,Platinum,East,Online,Employed,63075.54,3,8265.66,32292.26,24,27,13,27,6,368.96,60.35,0,12449.09,3,4.0,1.0,1.0,0.0
92,39,Platinum,West,Branch,Unemployed,31356.93,83,0.0,21949.28,14,35,9,9,10,253.7,49.68,1,7250.35,6,6.0,0.0,1.0,0.0
93,20,Silver,North,Phone,Unemployed,58810.88,68,18306.27,13277.94,23,25,7,19,1,388.55,5.0,0,8280.76,2,6.0,0.0,1.0,0.0
94,35,Silver,South,Phone,Unemployed,69168.15,23,0.0,8063.91,24,28,11,14,2,333.01,47.12,0,6906.29,1,4.0,0.0,1.0,1.0
95,59,Silver,West,Online,Retired,64543.54,50,14974.26,20968.89,28,23,6,13,10,556.4,38.35,0,1129.46,2,10.0,1.0,0.0,1.0
96,28,Silver,South,Online,Unemployed,51856.32,95,4029.7,15427.76,20,44,11,16,12,440.47,85.49,0,5680.8,1,5.0,0.0,1.0,1.0
97,57,Silver,East,Branch,Unemployed,19078.92,36,13296.28,7145.14,27,34,8,15,14,238.98,67.43,0,116.81,2,3.0,1.0,1.0,0.0
98,50,Platinum,West,Online,Retired,60302.41,90,2822.64,34863.35,25,35,12,21,8,275.11,69.11,0,3685.89,2,9.0,0.0,1.0,0.0
99,41,Silver,North,Branch,Retired,38412.37,39,8789.42,29641.24,5,29,7,24,2,249.64,30.35,0,2734.49,3,6.0,0.0,0.0,0.0
100,49,Bronze,West,Phone,Unemployed,60981.21,44,10417.27,18243.09,22,27,6,21,14,316.57,79.25,0,7542.72,1,8.0,0.0,0.0,0.0
101,44,Gold,South,Phone,Employed,53340.74,34,11559.75,20249.75,11,34,11,19,9,325.71,112.12,0,4153.59,3,10.0,1.0,0.0,1.0
102,45,Silver,North,Phone,Self-Employed,70702.08,26,0.0,40646.5,2,34,8,20,5,367.02,22.93,0,9806.59,2,7.0,1.0,1.0,1.0
103,42,Silver,West,Phone,Retired,58213.1,24,13166.84,30051.91,16,36,10,21,7,320.02,56.3,0,2924.62,5,10.0,1.0,0.0,1.0
104,18,Platinum,West,Online,Self-Employed,72075.63,45,21468.28,21933.57,29,34,8,16,1,121.7,40.77,0,6967.85,1,5.0,0.0,0.0,0.0
105,66,Silver,West,Online,Retired,54754.28,68,18444.38,26432.62,25,34,10,19,2,409.05,14.28,0,906.04,3,5.0,1.0,0.0,0.0
106,44,Silver,West,Branch,Unemployed,78011.93,82,16165.9,19654.31,25,34,13,22,4,312.23,66.38,0,3850.83,1,2.0,1.0,0.0,1.0
107,51,Silver,North,Branch,Retired,51229.83,52,22670.42,29439.21,12,29,7,20,14,425.4,23.67,1,3066.08,5,5.0,1.0,1.0,1.0
108,65,Platinum,South,Branch,Unemployed,40801.19,95,0.0,6483.17,25,29,13,17,7,404.02,53.54,0,3302.11,0,8.0,1.0,0.0,0.0
109,36,Silver,West,Branch,Self-Employed,45004.4,13,19639.89,18897.46,2,28,12,26,10,201.69,62.21,0,6983.94,4,10.0,0.0,0.0,0.0
110,36,Gold,North,Branch,Employed,46708.82,58,22949.94,20476.39,28,31,12,20,6,278.72,36.75,1,3908.91,3,2.0,1.0,1.0,1.0
111,48,Platinum,South,Phone,Unemployed,42376.02,42,11502.76,28307.04,20,37,14,25,1,309.99,89.58,1,4962.17,2,10.0,0.0,1.0,1.0
112,23,Gold,West,Phone,Self-Employed,57963.01,43,0.0,19145.8,0,32,13,21,14,93.02,37.66,0,1940.16,4,9.0,1.0,1.0,0.0
113,45,Platinum,South,Phone,Self-Employed,56911.96,26,1742.17,14255.59,18,32,15,15,11,344.5,69.95,1,3844.94,2,2.0,0.0,1.0,1.0
114,62,Silver,South,Branch,Retired,41203.77,10,14871.29,15380.3,12,37,7,15,1,445.46,57.59,0,4117.61,0,5.0,1.0,0.0,1.0
115,46,Gold,North,Phone,Unemployed,43172.02,22,14437.87,0.0,29,31,10,19,10,148.1,61.63,0,3123.88,1,8.0,0.0,1.0,0.0
116,21,Platinum,South,Phone,Self-Employed,71160.38,2,8545.1,35014.1,26,26,7,26,1,392.67,34.83,0,0.0,3,2.0,1.0,0.0,1.0
117,48,Bronze,North,Phone,Employed,49874.59,96,17115.36,25369.2,8,33,10,23,12,351.8,74.91,0,2612.07,2,1.0,0.0,1.0,0.0
118,54,Silver,West,Phone,Retired,56634.22,11,0.0,21709.37,13,23,12,24,2,368.49,70.89,0,2157.97,1,1.0,0.0,0.0,1.0
119,42,Platinum,South,Online,Retired,60611.87,83,16409.71,24945.72,9,31,8,14,6,549.17,17.57,0,4956.88,1,9.0,0.0,0.0,1.0
120,61,Bronze,South,Branch,Self-Employed,41649.23,41,15945.5,14740.02,29,28,10,17,6,242.6,8.75,0,8844.56,0,10.0,0.0,0.0,1.0
121,46,Platinum,East,Branch,Unemployed,70265.24,48,13572.05,20548.08,28,31,17,18,8,151.49,50.17,0,8743.3,3,3.0,0.0,1.0,0.0
122,18,Bronze,West,Online,Retired,48529.99,80,16050.75,18868.46,10,29,12,22,12,332.78,31.97,0,1365.45,3,3.0,1.0,0.0,1.0
123,25,Silver,West,Phone,Unemployed,44124.94,97,12286.54,21382.62,25,24,17,19,2,377.72,102.3,0,4521.28,2,4.0,0.0,0.0,0.0
124,30,Gold,East,Phone,Self-Employed,62965.87,87,18670.52,15058.21,24,24,7,16,5,243.97,27.6,0,3211.17,3,2.0,1.0,0.0,1.0
125,18,Bronze,East,Phone,Self-Employed,45504.6,21,13547.19,12580.93,8,30,19,20,12,373.44,73.81,1,8521.33,2,4.0,1.0,0.0,1.0
126,40,Platinum,North,Branch,Unemployed,54865.49,3,21309.99,24371.71,2,24,8,16,8,281.23,82.86,0,6266.84,2,3.0,0.0,1.0,1.0
127,57,Silver,North,Branch,Employed,52567.81,43,7471.58,14761.67,16,25,8,23,1,146.58,75.57,0,4642.69,1,6.0,1.0,0.0,1.0
128,18,Bronze,South,Branch,Retired,70871.87,64,13471.96,20047.85,9,34,8,18,7,370.89,82.38,0,4336.52,2,5.0,0.0,1.0,1.0
129,27,Platinum,South,Branch,Self-Employed,60491.96,44,20899.05,31451.84,20,29,14,19,14,238.55,72.47,0,4463.56,0,10.0,0.0,0.0,0.0
130,37,Platinum,South,Branch,Employed,42347.59,59,4217.52,29502.91,25,37,13,26,5,485.58,54.53,1,1893.25,2,8.0,1.0,1.0,1.0
131,20,Platinum,South,Online,Employed,28014.89,72,9659.17,9942.67,8,29,12,24,1,78.6,95.37,0,6532.54,2,4.0,0.0,0.0,0.0
132,56,Bronze,North,Branch,Unemployed,87279.71,51,0.0,19322.2,26,22,11,27,14,513.59,45.92,0,710.74,2,8.0,0.0,1.0,1.0
133,22,Bronze,West,Phone,Unemployed,42048.66,21,23863.71,33814.78,4,26,11,22,14,275.74,66.98,0,4350.11,3,5.0,1.0,1.0,1.0
134,42,Bronze,South,Branch,Unemployed,43149.54,40,13995.16,30384.39,7,37,10,20,11,290.19,70.2,1,4462.48,2,2.0,1.0,1.0,1.0
135,67,Gold,West,Online,Employed,47572.03,39,8513.29,20619.49,12,29,10,19,2,426.45,80.32,0,144.63,1,5.0,,0.0,0.0
136,52,Bronze,South,Phone,Retired,10000.0,53,24990.24,24533.1,21,31,7,20,6,67.47,67.43,0,735.1,3,2.0,,1.0,0.0
137,63,Bronze,East,Online,Unemployed,62797.48,48,13911.61,15139.26,10,30,9,23,8,109.97,67.54,0,5849.04,0,6.0,,1.0,1.0
138,33,Bronze,South,Phone,Retired,64339.07,68,16685.78,25647.08,1,27,16,23,4,275.26,59.78,1,0.0,1,1.0,,1.0,0.0
139,32,Gold,South,Branch,Unemployed,41617.76,52,11878.13,0.0,20,33,8,14,12,369.32,37.65,0,3718.84,3,8.0,,0.0,1.0
140,38,Bronze,South,Online,Employed,65674.71,38,13387.92,10639.33,5,27,7,14,11,290.48,55.22,0,5421.61,2,7.0,,0.0,0.0
141,44,Platinum,North,Phone,Retired,586300.35,13,7597.64,8469.58,20,20,6,17,2,165.18,58.05,1,4676.63,2,9.0,,1.0,1.0
142,28,Bronze,East,Branch,Retired,58900.05,64,13846.05,0.0,23,34,7,26,13,422.29,90.35,0,4650.45,3,8.0,,1.0,0.0
143,39,Platinum,South,Phone,Employed,28481.29,87,0.0,37601.17,20,30,10,26,6,273.1,56.02,0,5439.6,0,9.0,,0.0,0.0
144,39,Platinum,South,Online,Retired,54502.63,90,9607.68,20296.91,24,39,10,22,8,396.76,65.44,0,0.0,6,10.0,,0.0,1.0
145,66,Platinum,West,Online,Employed,33271.3,75,7959.79,9890.45,9,25,14,16,1,385.88,20.54,0,11681.57,4,2.0,,0.0,0.0
146,44,Gold,East,Online,Employed,44273.43,15,0.0,18080.42,0,24,6,21,2,521.49,100.82,0,5464.55,2,1.0,,1.0,0.0
147,49,Gold,South,Online,Self-Employed,65355.54,43,0.0,4070.01,29,30,7,30,2,295.41,48.85,1,9038.03,2,10.0,,0.0,1.0
148,32,Gold,West,Branch,Unemployed,56595.05,15,3924.77,20978.72,29,35,13,17,9,108.28,59.43,0,3713.06,3,7.0,,0.0,1.0
149,65,Bronze,West,Phone,Self-Employed,65073.95,32,11686.23,6787.11,26,28,16,22,10,267.53,48.0,0,7356.56,1,4.0,1.0,0.0,1.0
150,29,Platinum,North,Branch,Employed,65850.96,64,8760.88,27616.41,24,40,12,24,2,289.17,25.11,1,9398.44,3,5.0,0.0,0.0,1.0
151,49,Gold,West,Online,Employed,66171.88,65,23964.86,18782.35,22,33,7,24,5,198.46,23.24,0,5040.53,0,3.0,0.0,1.0,0.0
152,50,Gold,South,Phone,Retired,24361.6,66,3011.57,17108.64,29,42,10,20,8,256.99,53.55,0,4998.58,1,3.0,0.0,0.0,0.0
153,19,Bronze,North,Online,Employed,43127.95,17,3458.73,21939.49,8,26,11,23,14,384.23,43.14,0,10875.54,2,3.0,0.0,1.0,1.0
154,61,Gold,North,Branch,Employed,34599.34,19,26193.54,35766.33,1,32,10,25,8,39.11,63.41,1,3879.83,1,9.0,0.0,0.0,0.0
155,33,Bronze,South,Branch,Employed,47192.52,93,15854.15,10659.96,15,29,14,21,12,526.62,61.84,0,5115.67,3,4.0,0.0,0.0,1.0
156,67,Silver,East,Branch,Unemployed,66352.75,89,13391.61,26823.83,29,23,7,24,1,216.43,23.82,0,9835.39,2,7.0,1.0,1.0,0.0
157,68,Gold,West,Phone,Self-Employed,64642.08,17,0.0,15346.08,22,33,5,16,11,225.18,34.32,0,8004.56,1,1.0,1.0,0.0,1.0
158,61,Silver,North,Phone,Self-Employed,74955.99,50,17865.34,8629.9,25,28,3,15,13,223.43,47.64,0,12200.35,3,7.0,1.0,0.0,1.0
159,23,Bronze,East,Online,Unemployed,63326.7,3,0.0,16851.15,7,21,9,20,10,299.05,59.31,0,1542.65,0,5.0,1.0,0.0,1.0
160,30,Platinum,South,Phone,Unemployed,77627.23,85,9689.65,26211.16,18,35,11,22,10,407.22,31.45,0,7702.56,2,6.0,0.0,0.0,1.0
161,42,Gold,West,Phone,Unemployed,50240.38,68,15784.35,13177.56,7,36,5,19,9,335.41,44.59,0,0.0,2,5.0,0.0,0.0,1.0
162,46,Bronze,West,Branch,Self-Employed,55131.49,85,10786.2,30402.23,19,32,9,20,5,119.1,53.64,0,3613.95,2,3.0,0.0,0.0,1.0
163,21,Platinum,North,Online,Self-Employed,53603.09,40,27158.24,19629.53,16,34,6,24,14,459.6,44.7,0,5568.56,2,2.0,1.0,1.0,0.0
164,53,Platinum,West,Branch,Employed,46407.14,82,16159.42,16623.27,4,23,9,23,2,221.1,26.23,0,,3,6.0,0.0,0.0,1.0
165,67,Silver,West,Online,Self-Employed,51035.05,38,6526.71,38950.24,10,27,7,16,12,236.11,54.7,0,,3,3.0,0.0,0.0,1.0
166,37,Bronze,West,Online,Retired,43471.28,83,7186.36,28413.55,2,33,6,17,10,229.96,41.0,0,,3,7.0,0.0,0.0,1.0
167,19,Platinum,West,Phone,Self-Employed,36225.26,51,3199.12,13524.07,23,35,10,17,4,420.37,34.28,0,,5,3.0,1.0,0.0,0.0
168,22,Gold,South,Branch,Unemployed,39898.79,43,6464.28,27151.41,18,35,12,21,9,327.54,50.63,0,,1,7.0,0.0,1.0,0.0
169,39,Gold,East,Phone,Self-Employed,55508.0,25,10169.49,21498.26,19,28,10,26,3,181.27,37.68,0,,3,4.0,1.0,0.0,0.0
170,34,Silver,South,Phone,Employed,53250.79,48,1441.5,10212.26,0,28,8,20,14,386.02,40.59,1,,2,3.0,1.0,0.0,1.0
171,21,Platinum,South,Phone,Self-Employed,69065.45,36,0.0,11446.96,26,25,5,23,14,207.78,19.58,0,,4,8.0,1.0,1.0,1.0
172,33,Bronze,North,Online,Unemployed,52482.37,55,10986.51,24888.06,27,25,8,23,2,349.02,33.51,0,,2,9.0,1.0,0.0,0.0
173,48,Gold,West,Branch,Retired,51083.74,38,9063.16,22497.33,16,30,11,21,4,447.92,52.6,0,,2,3.0,0.0,0.0,0.0
